id,x,y,matches
207,419.065369,902.897339,406
208,420.634888,905.730591,384
209,309.425049,650.249756,357
210,228.905319,685.435303,307
211,268.945465,701.431519,328
212,254.007172,629.467407,255
213,159.947037,726.478699,260
214,254.294678,629.536865,295
215,254.301819,629.349121,300
216,254.220901,629.504517,302
217,282.291382,679.569214,215
218,309.922852,648.528198,271
219,362.676727,667.370544,343
220,364.186310,667.784180,371
221,354.906433,661.272217,346
222,252.852066,622.736633,280
223,198.855484,648.948853,310
224,362.497284,667.515076,375
225,170.286179,642.659546,445
226,359.547150,665.373657,297
227,330.107086,657.827393,304
228,66.922852,426.473083,328
229,141.523605,644.584839,306
230,158.134583,661.158325,293
231,147.613846,53.228455,344
232,67.486206,424.771484,465
233,66.213394,435.050781,426
234,120.237915,638.569031,406
235,117.633888,631.571167,385
236,160.922775,760.174927,190
237,161.913712,736.845886,183
238,269.079742,701.301453,234
239,269.584259,700.901611,213
240,244.882126,610.325806,86
241,161.983994,735.027954,85
242,160.460007,736.407593,143
243,162.022934,734.985779,237
244,163.602127,736.641602,163
245,252.146103,537.341309,360
246,304.710876,417.063538,418
247,355.321381,642.506226,412
248,320.756104,564.047852,469
249,161.310272,735.487671,439
250,345.634216,557.670410,426
251,342.283875,567.808472,459
252,497.507172,561.134521,371
253,474.555878,559.941406,369
254,477.580719,544.445862,357
255,478.328247,543.861816,343
256,436.794250,535.063354,415
257,479.967926,572.388184,599
258,484.576843,564.937683,533
259,477.897278,552.405762,510
260,482.235413,544.764893,438
261,477.968536,550.202209,342
262,450.912170,558.186157,267
263,478.700623,542.905579,362
264,354.253967,465.118713,636
265,399.963165,485.917297,579
266,369.575714,484.048645,273
267,359.577362,502.038208,188
268,318.726776,509.223572,279
269,482.820129,662.838806,360
270,552.661194,393.396667,370
271,105.639282,526.131409,461
272,275.566345,538.075684,367
273,192.596313,510.891907,289
274,337.044952,398.149231,299
275,269.190582,701.722412,442
276,142.457626,494.238647,554
277,132.037048,495.882568,553
278,138.395340,490.698059,499
279,174.384521,551.985596,303
280,153.685196,517.906372,441
281,178.572342,477.657959,418
282,184.297699,459.702637,207
283,200.000839,471.730957,179
284,234.416748,445.585571,164
285,283.047699,131.670837,226
286,280.874573,437.386108,255
287,314.729553,430.577515,463
288,303.755280,426.975098,544
289,408.025208,372.384888,403
290,358.569092,426.166077,383
291,277.559265,588.268188,365
292,406.562805,420.037415,547
293,363.161377,245.460693,587
294,436.211823,417.831665,595
295,400.517731,401.804688,701
296,447.781921,402.112366,690
297,468.269836,399.551270,924
298,467.074005,405.440613,898
299,458.758789,416.484375,893
300,458.178375,407.283386,998
301,463.021240,415.184204,816
302,444.747559,401.862793,659
303,428.500641,396.841736,720
304,425.078888,394.189392,910
305,425.838501,387.339661,833
306,398.550323,372.306030,485
307,502.226715,559.586914,309
308,582.916870,487.148010,422
309,338.065582,375.467346,562
310,320.946747,347.748596,375
311,301.133118,345.638062,317
312,347.547882,333.964294,399
313,334.523224,327.952332,610
314,229.367279,332.715942,491
315,289.744598,272.371460,650
316,302.673035,319.636780,491
317,317.187286,300.128479,543
318,314.054871,312.056641,683
319,316.292328,289.075562,366
320,288.897278,290.294006,352
321,260.729980,282.061951,372
322,269.855255,263.668213,516
323,470.802063,114.911560,386
324,323.474365,693.875183,163
325,184.066376,262.752380,193
326,388.119507,262.268005,162
327,200.041641,417.872803,125
328,476.242737,269.713074,140
329,539.089172,330.602783,318
330,157.388733,749.525879,280
331,494.509918,306.766418,579
332,440.497955,257.473083,227
333,463.877777,196.620667,222
334,407.437225,241.214111,138
335,-1914.890015,1132.564697,41
336,294.373810,722.249634,47
337,298.121521,632.102295,40
338,428.607971,660.049438,53
339,154.733215,522.909485,89
340,-9248.131836,-31734.742188,89
341,-38.306267,241.004700,257
342,0.152764,254.415955,249
343,971.692383,302.186890,97
344,437.133514,670.447937,59
345,261.654602,431.093506,36
346,443.668823,752.167847,40
347,347.782959,344.963928,62
348,258.661285,336.941223,44
349,507.626770,727.086792,70
350,566.614014,574.741638,90
351,470.676086,219.668091,99
352,500.229858,252.403320,105
353,584.967346,576.896606,122
354,546.425964,276.884949,428
355,159.259644,723.170776,209
356,1183.439941,1249.227661,166
357,560.700195,298.391357,203
358,549.310791,312.092224,184
359,386.078888,653.769775,170
360,464.700897,112.001160,148
361,690.190369,-105.477051,119
362,190.100296,527.158875,122
363,313.023254,917.929382,150
364,385.506958,266.924438,160
365,184.359085,321.648926,226
366,396.890594,439.166626,299
367,385.245300,232.586121,229
368,153.101791,326.945618,213
369,132.908127,398.786255,288
370,114.849541,417.999512,198
371,111.488327,429.806641,364
372,113.553497,435.629333,416
373,893.631042,822.309448,204
374,411.256958,234.263550,129
375,403.037415,241.797913,99
376,358.573639,503.913086,65
377,1170.469238,-9131.742188,69
378,425.722107,411.482788,54
379,453.317657,408.378723,54
380,525.831604,460.134216,64
381,563.594910,534.722656,50
382,502.111603,517.488708,143
383,521.643005,405.206665,639
384,512.234314,405.426270,295
385,315.627319,360.261719,132
386,425.017090,388.152344,197
387,495.281738,384.465149,354
388,429.406708,411.803955,490
389,367.276917,412.436340,502
390,361.512909,427.738525,558
391,347.567230,429.825989,490
392,213.438446,334.777222,204
393,534.672974,628.732300,175
394,314.513214,538.202515,223
395,356.456421,545.388611,243
396,145.676666,487.637939,212
397,34.129375,449.711182,260
398,253.920639,619.884399,453
399,161.102264,730.762085,254
400,272.502991,565.453247,205
401,308.968292,627.734314,205
402,323.451447,551.663330,199
403,354.933441,443.009094,137
404,568.150391,502.929443,153
405,515.276855,601.801880,155
406,526.922729,540.371216,123
407,507.899323,518.717651,138
408,534.662842,503.996033,414
409,532.851379,499.563293,549
410,318.615997,666.190063,90
411,408.416016,695.408569,87
412,430.886078,557.148682,113
413,653.523499,396.201538,128
414,384.339905,324.276123,227
415,366.381592,632.228027,310
416,404.742859,606.955078,870
417,368.455994,601.769104,856
418,391.761780,620.391357,467
419,386.990906,624.841553,508
420,393.844055,621.440063,758
421,400.967529,594.877930,543
422,399.917114,612.055298,458
423,340.817169,726.381348,748
424,368.164398,613.533691,752
425,351.008545,608.651123,538
426,434.219208,261.397827,235
427,199.874603,748.310120,148
428,190.061447,527.050964,109
429,434.531982,257.772400,290
430,323.659149,681.656860,565
431,173.223206,692.019531,270
432,162.520432,716.517334,170
433,214.074631,531.635986,151
434,249.302216,263.653076,152
435,484.112976,240.545105,194
436,376.687256,608.869873,628
437,394.536224,623.348328,809
438,421.758270,903.575989,274
439,340.711395,467.750610,131
440,340.857086,468.725464,175
441,420.663879,906.302490,368
442,81.575890,593.349976,586
443,361.307800,669.809998,604
444,368.892120,666.441162,688
445,354.001068,654.613037,732
446,374.368988,664.380615,741
447,343.734009,677.171692,710
448,355.855682,636.101257,607
449,364.050049,675.659668,384
450,371.310303,666.481812,196
451,398.826721,655.792236,267
452,428.058136,833.203796,162
453,425.475555,645.066772,286
454,435.421021,621.275757,557
455,419.963959,624.651184,231
456,349.601654,167.751282,310
457,421.646179,725.180542,372
458,412.703888,636.360107,434
459,431.900879,255.033447,246
460,402.447296,662.673218,291
461,400.285492,673.322083,317
462,420.339813,906.551636,314
463,439.956604,718.493042,344
464,352.040833,671.374146,110
465,426.095825,283.916870,46
466,356.693542,520.091187,41
467,371.048065,137.816711,101
468,313.525513,760.129395,610
469,308.343109,787.041931,630
470,317.930969,779.915588,607
471,336.289246,767.274292,374
472,335.537323,770.325195,397
473,320.971222,757.270325,387
474,333.812653,749.844360,505
475,160.666000,735.670654,178
476,164.304443,738.158386,161
477,289.327881,592.512085,261
478,300.637787,405.674133,126
479,340.669098,460.495544,146
480,434.535736,257.787720,190
481,434.672485,257.493286,234
482,433.575592,261.351013,205
483,207.667221,682.739624,264
484,263.644012,665.741882,219
485,495.315155,183.261108,38
486,639.932373,257.930603,60
487,269.076904,701.387695,234
488,269.327881,702.580566,355
489,257.780243,713.071411,348
490,228.119736,697.899536,384
491,281.962830,697.855957,271
492,411.253174,909.460144,196
493,420.722504,906.279663,174
494,253.192551,485.858093,98
495,471.632996,288.158630,51
496,-9128.138672,13065.099609,43
497,113.070679,716.690308,59
498,416.645111,650.726501,113
499,426.538330,634.211304,232
500,451.600708,635.668213,513
501,451.258942,623.565430,523
502,441.589111,655.760498,320
503,422.117340,106.504089,150
504,334.374115,492.542297,100
505,330.882050,1024.485107,106
506,342.218719,591.696716,436
507,349.081146,579.362122,473
508,344.986115,565.031616,411
509,327.835052,576.459106,629
510,279.280243,543.008240,669
511,352.605865,525.316895,437
512,362.080627,589.363281,405
513,359.282013,518.054199,322
514,154.937393,735.363098,419
515,148.860992,231.538452,297
516,384.802246,225.408142,222
517,472.528320,563.894775,335
518,444.663696,529.990845,391
519,263.411377,445.535461,190
520,548.656921,155.082031,146
521,446.935577,360.496765,169
522,377.891022,491.525757,178
523,366.100037,488.265381,567
524,363.472992,486.234253,664
525,367.775391,481.170715,587
526,387.699982,326.739929,320
527,377.226227,511.655334,403
528,421.894836,468.916199,536
529,455.093903,402.423096,143
530,455.886566,452.691528,119
531,-83.081245,262.090149,126
532,263.707458,798.344727,190
533,516.261047,419.364441,389
534,469.292816,456.909607,217
535,-58032.261719,-104231.304688,56
536,387.560486,566.594238,130
537,454.623199,425.523438,736
538,417.782623,509.770264,483
539,442.077942,396.640320,456
540,516.334229,451.653809,625
541,475.466431,403.143127,695
542,496.026093,398.426758,580
543,443.233551,456.020935,387
544,436.768066,404.388306,337
545,468.967255,773.579834,44
546,674.441589,428.296082,39
547,510.245850,360.911804,137
548,146.723358,431.611084,65
549,482.606659,398.738525,49
550,452.980927,368.839722,99
551,451.886444,381.847290,420
552,443.859528,383.384033,653
553,434.079163,644.993225,184
554,339.237793,338.242676,46
555,589.140869,654.911865,71
556,293.633301,445.907043,26
557,468.824738,190.465698,76
558,-257.358307,639.991943,58
559,562.985352,678.811279,41
560,457.874664,-85.282959,207
561,388.703461,297.810669,339
562,325.387665,586.940308,129
563,544.989075,599.215271,46
564,323.423523,343.204956,44
565,491.191406,560.539124,124
566,345.649506,389.186584,418
567,376.512360,404.128235,736
568,355.241852,412.442566,545
569,358.102844,418.690857,761
570,357.421661,438.150146,997
571,351.110413,427.097717,944
572,357.235931,427.367188,897
573,360.398590,435.296570,967
574,365.903687,435.554321,755
575,364.396729,443.090271,898
576,358.075562,432.765869,292
577,156.045578,739.270020,300
578,370.902740,396.055542,208
579,402.887756,393.440125,915
580,397.422241,399.417786,364
581,255.683197,308.006775,142
582,358.935455,466.705200,107
583,236.893616,620.544128,157
584,309.746948,590.925842,339
